,bite_Year,bite_Month,SpeciesIDDesc,GenderIDDesc,color,vaccination_yrs,victim_zip,WhereBittenIDDesc,Gender
909,2010,10,CAT,FEMALE,ORANGE-BLK,1,40219,BODY,0
912,2010,10,DOG,MALE,TAN-WHITE,1,40213,HEAD,1
913,2010,10,DOG,MALE,BRN-WHT,1,40071,BODY,1
915,2010,10,CAT,MALE,ORANGE-WHT,1,40205,BODY,1
916,2010,10,DOG,FEMALE,YELLOW-WHT,1,40272,BODY,0
918,2010,10,DOG,MALE,BLACK,3,40272,HEAD,1
920,2010,10,DOG,MALE,BRN-BLACK,1,40218,BODY,1
921,2010,10,DOG,FEMALE,BLK-WHITE,1,40205,BODY,0
922,2010,10,DOG,FEMALE,RED-BRN,3,40218,BODY,0
924,2010,10,DOG,FEMALE,DARK-RED,3,40222,BODY,0
927,2010,10,DOG,MALE,BLACK,3,40213,BODY,1
928,2010,10,DOG,FEMALE,GRAY,1,20151,BODY,0
930,2010,10,DOG,MALE,BROWN-BLK,3,40219,BODY,1
931,2010,10,DOG,MALE,RED,3,40214,BODY,1
934,2010,10,DOG,MALE,BLACK,1,40228,BODY,1
935,2010,10,DOG,FEMALE,RED,1,40245,BODY,0
938,2010,10,DOG,FEMALE,BRN-WHITE,3,40272,BODY,0
939,2010,10,DOG,FEMALE,BLACK,3,40272,BODY,0
940,2010,10,DOG,MALE,WHITE,1,40272,BODY,1
941,2010,10,DOG,MALE,BRN-WHITE,1,40258,HEAD,1
942,2010,10,CAT,MALE,BLK-WHT,1,40207,BODY,1
944,2010,10,DOG,MALE,RED,1,40216,BODY,1
945,2010,10,DOG,FEMALE,BLK-WHITE,1,40272,BODY,0
946,2010,10,DOG,MALE,RED-BRN,1,40245,BODY,1
948,2010,10,DOG,MALE,RED-BRN,1,40205,HEAD,1
949,2010,10,CAT,MALE,GRAY,1,40258,BODY,1
950,2010,10,DOG,MALE,RUST-BLK,1,40218,HEAD,1
953,2010,10,DOG,MALE,BLACK,1,40241,BODY,1
954,2010,10,DOG,FEMALE,TRI,1,40272,BODY,0
955,2010,10,DOG,FEMALE,APRICOT,1,40059,BODY,0
